Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Census2019_5PlusPop
Ben Hill County,GA,45.5,39.7,35.7,15641
Berrien County,GA,40.9,34.9,32.9,18178
Bibb County,GA,54.9,47.5,41.8,142864
Bleckley County,GA,43.5,37.4,37.2,12220
Brantley County,GA,31.4,26.6,31.1,17943
Brooks County,GA,57.7,49.5,40.9,14586
Bryan County,GA,65.3,55.6,38.7,36689
Bulloch County,GA,40.3,35.3,43.1,75062
Burke County,GA,69.6,58.9,39.8,20864
Butts County,GA,40.8,35.3,41.2,23565
Calhoun County,GA,56.1,49.8,46.8,5941
Camden County,GA,68.1,57.7,34.4,50826
Candler County,GA,49.1,43.4,39.9,10134
Carroll County,GA,44.6,38.9,40.3,112319
Catoosa County,GA,53.3,45.9,37.5,63986
Charlton County,GA,30.5,26,34,12729
Chatham County,GA,66.6,58.1,43.9,271672
Chattahoochee County,GA,95,95,16.4,9947
Chattooga County,GA,44.1,39.1,40.1,23293
Cherokee County,GA,57.2,51.1,45.7,243909
Clarke County,GA,53.7,48.2,52.2,121780
Clay County,GA,80,69.5,44.2,2676
Clayton County,GA,52.9,45.5,39.8,270441
Clinch County,GA,48.1,41,28.7,6195
Cobb County,GA,68.5,60.2,47.5,713870
Coffee County,GA,44.8,38.2,33.2,40286
Colquitt County,GA,47.4,40.9,32.7,42570
Columbia County,GA,62.6,52.5,39.5,146873
Cook County,GA,49.2,42.1,37,16147
Coweta County,GA,52.1,45.9,43.9,139760
Crawford County,GA,50.4,42.1,37.9,11832
Crisp County,GA,52.6,44.9,38,20966
Dade County,GA,59,48.3,38.3,15323
Dawson County,GA,45.5,40.8,42.1,24768
Decatur County,GA,58.4,50.3,38.5,24595
DeKalb County,GA,67.5,58.9,50.5,706906
Dodge County,GA,41.9,36.4,36.3,19569
Dooly County,GA,43.7,38.4,40.4,12888
Dougherty County,GA,58.8,50.8,42.4,82136
Douglas County,GA,54.9,47.8,42.3,137203
Early County,GA,55.7,50,39.8,9517
Echols County,GA,39.1,31.6,29.9,3796
Effingham County,GA,45.2,39.6,39.3,59967
Elbert County,GA,48.7,43.4,42.6,18075
Emanuel County,GA,47.3,41.3,35.3,21122
Evans County,GA,47.7,41.4,41.1,9945
Fannin County,GA,48.8,43.4,49.2,25116
Fayette County,GA,71.5,64.1,52.2,109283
Floyd County,GA,49.1,43.7,42.4,92598
Forsyth County,GA,60.5,54.5,48,229981
Franklin County,GA,41.5,37,39.5,21929
Fulton County,GA,66.7,58.4,50.7,1002719
Gilmer County,GA,46.9,42,47.4,29747
Glascock County,GA,38.2,33.7,40.6,2842
Glynn County,GA,60.3,52.8,43.7,80611
Gordon County,GA,43.7,38.5,40,54551
Grady County,GA,51,45.1,37.5,23065
Greene County,GA,63.5,56.2,51,17416
Gwinnett County,GA,64.2,56.7,45.3,875401
Habersham County,GA,46.6,41.1,40.9,42705
Hall County,GA,52.7,46.4,41.5,191120
Hancock County,GA,55.4,49.7,48.3,8165
Haralson County,GA,38.5,34.1,39.8,27921
Harris County,GA,58.3,50,41.7,33507
Hart County,GA,46.1,39.3,44.6,24826
Heard County,GA,33.4,29.2,39.9,11274
