County name,State,Urban Rural Code,Deaths involving COVID-19
Kauai County,HI,Micropolitan,40
Maui County,HI,Small metro,169
Adair County,IA,Noncore,35
Adams County,IA,Noncore,13
Allamakee County,IA,Noncore,52
Appanoose County,IA,Noncore,56
Audubon County,IA,Noncore,16
Benton County,IA,Medium metro,45
Black Hawk County,IA,Small metro,612
Boone County,IA,Micropolitan,38
Bremer County,IA,Small metro,74
Buchanan County,IA,Noncore,27
Buena Vista County,IA,Micropolitan,41
Butler County,IA,Noncore,23
Calhoun County,IA,Noncore,
Carroll County,IA,Noncore,74
Cass County,IA,Noncore,66
Cedar County,IA,Noncore,24
Cerro Gordo County,IA,Micropolitan,289
Cherokee County,IA,Noncore,48
Chickasaw County,IA,Noncore,11
Clarke County,IA,Noncore,31
Clay County,IA,Micropolitan,34
Clayton County,IA,Noncore,60
Clinton County,IA,Micropolitan,154
Crawford County,IA,Noncore,43
Dallas County,IA,Medium metro,103
Davis County,IA,Micropolitan,24
Decatur County,IA,Noncore,16
Delaware County,IA,Noncore,48
Des Moines County,IA,Micropolitan,197
Dickinson County,IA,Micropolitan,57
Dubuque County,IA,Small metro,378
Emmet County,IA,Noncore,43
Fayette County,IA,Noncore,60
Floyd County,IA,Noncore,38
Franklin County,IA,Noncore,20
Fremont County,IA,Noncore,11
Greene County,IA,Noncore,16
Grundy County,IA,Small metro,38
Guthrie County,IA,Medium metro,20
Hamilton County,IA,Noncore,61
Hancock County,IA,Noncore,36
Hardin County,IA,Noncore,45
Harrison County,IA,Medium metro,77
Henry County,IA,Noncore,54
Howard County,IA,Noncore,36
Humboldt County,IA,Noncore,28
Ida County,IA,Noncore,39
Iowa County,IA,Noncore,30
Jackson County,IA,Noncore,43
Jasper County,IA,Micropolitan,62
Jefferson County,IA,Micropolitan,33
Johnson County,IA,Small metro,633
Jones County,IA,Medium metro,44
Keokuk County,IA,Noncore,33
Kossuth County,IA,Noncore,58
Lee County,IA,Micropolitan,95
Linn County,IA,Medium metro,766
Louisa County,IA,Noncore,30
Lucas County,IA,Noncore,22
Lyon County,IA,Noncore,33
